clip_id,frames,duration_s,ground_offset_m
CMU_001_01,913,22.825,0.12521
CMU_002_01,111,2.775,0.14386
CMU_002_02,95,2.375,0.10671
CMU_002_03,53,1.325,0.13858
CMU_002_04,157,3.925,0.14658
CMU_005_01,195,4.875,0.15995
CMU_006_01,160,4.0,0.12368
CMU_006_02,237,5.925,0.11692
CMU_006_03,172,4.3,0.15159
CMU_006_04,128,3.2,0.12498
CMU_006_05,124,3.1,0.14307
CMU_006_06,130,3.25,0.12424
CMU_006_07,188,4.7,0.1117
CMU_006_08,110,2.75,0.0896
CMU_006_09,97,2.425,0.12468
CMU_006_10,367,9.175,0.13599
CMU_006_11,379,9.475,0.14237
CMU_006_12,404,10.1,0.13003
CMU_006_13,1631,40.775,0.07682
CMU_006_14,156,3.9,0.14641
CMU_006_15,178,4.45,0.13741
CMU_007_01,101,2.525,0.13642
CMU_007_02,106,2.65,0.11342
CMU_007_03,135,3.375,0.1505
CMU_007_04,146,3.65,0.14527
CMU_007_05,169,4.225,0.1292
CMU_007_06,135,3.375,0.13647
CMU_007_07,123,3.075,0.1254
CMU_007_08,117,2.925,0.11865
CMU_007_09,98,2.45,0.12631
CMU_007_10,97,2.425,0.11946
CMU_007_11,101,2.525,0.10175
CMU_007_12,84,2.1,0.11535
CMU_008_01,88,2.2,0.08475
CMU_008_02,99,2.475,0.11781
CMU_008_03,114,2.85,0.12004
CMU_008_04,158,3.95,0.12674
CMU_008_05,95,2.375,0.07589
CMU_008_06,94,2.35,0.10975
CMU_008_07,97,2.425,0.02019
CMU_008_08,91,2.275,0.10879
CMU_008_09,94,2.35,0.12464
CMU_008_10,88,2.2,0.11981
CMU_008_11,121,3.025,0.05085
CMU_009_01,45,1.125,0.11945
CMU_009_02,39,0.975,0.12379
CMU_009_03,39,0.975,0.10156
CMU_009_04,42,1.05,0.10549
CMU_009_05,44,1.1,0.12786
CMU_009_06,43,1.075,0.12015
CMU_009_07,43,1.075,0.13298
CMU_009_08,39,0.975,0.11864
CMU_009_09,46,1.15,0.13311
CMU_009_10,40,1.0,0.13704
CMU_009_11,51,1.275,0.11944
CMU_009_12,635,15.875,0.12797
CMU_010_04,180,4.5,0.14339
CMU_013_11,135,3.375,0.13587
CMU_013_13,142,3.55,0.12779
CMU_013_19,139,3.475,0.12416
CMU_013_26,1005,25.125,0.14415
CMU_013_27,1385,34.625,0.15038
CMU_013_28,1370,34.25,0.15837
CMU_013_29,1527,38.175,0.13664
CMU_013_30,818,20.45,0.13239
CMU_013_31,1002,25.05,0.16161
CMU_013_32,109,2.725,0.13989
CMU_013_39,114,2.85,0.12343
CMU_013_40,103,2.575,0.13665
CMU_013_41,120,3.0,0.12565
CMU_013_42,129,3.225,0.11821
CMU_014_06,1781,44.525,0.10551
CMU_014_07,735,18.375,0.15271
CMU_014_08,871,21.775,0.13788
CMU_014_09,1092,27.3,0.12414
CMU_014_14,1547,38.675,0.13718
CMU_014_20,1544,38.6,0.14833
CMU_014_24,1231,30.775,0.14433
CMU_014_25,1475,36.875,0.13662
CMU_014_26,1570,39.25,0.1519
CMU_015_01,1838,45.95,0.09263
CMU_015_03,4179,104.475,0.12992
CMU_015_04,7513,187.825,0.07651
CMU_015_05,7646,191.15,0.12031
CMU_015_06,1197,29.925,0.16492
CMU_015_07,1828,45.7,0.13676
CMU_015_08,1282,32.05,0.16038
CMU_015_09,2621,65.525,0.12398
CMU_015_12,3025,75.625,0.14305
CMU_015_14,2997,74.925,0.12651
CMU_016_01,104,2.6,0.14985
CMU_016_02,152,3.8,0.15062
CMU_016_03,133,3.325,0.14566
CMU_016_04,123,3.075,0.14772
CMU_016_05,94,2.35,0.14487
CMU_016_06,131,3.275,0.1434
CMU_016_07,136,3.4,0.14208
CMU_016_08,76,1.9,0.15212
CMU_016_09,161,4.025,0.14516
CMU_016_10,150,3.75,0.14378
CMU_016_11,175,4.375,0.15444
CMU_016_12,143,3.575,0.15492
CMU_016_13,145,3.625,0.15453
CMU_016_14,154,3.85,0.1599
CMU_016_15,153,3.825,0.15772
CMU_016_16,166,4.15,0.15795
CMU_016_17,169,4.225,0.15496
CMU_016_18,170,4.25,0.15633
CMU_016_19,133,3.325,0.14379
CMU_016_20,164,4.1,0.14656
CMU_016_21,100,2.5,0.14655
CMU_016_22,99,2.475,0.14633
CMU_016_23,95,2.375,0.14331
CMU_016_24,95,2.375,0.14989
CMU_016_25,91,2.275,0.14498
CMU_016_26,86,2.15,0.13635
CMU_016_27,78,1.95,0.14447
CMU_016_28,87,2.175,0.14488
CMU_016_29,91,2.275,0.18378
CMU_016_30,85,2.125,0.12997
CMU_016_31,137,3.425,0.15266
CMU_016_32,189,4.725,0.15381
CMU_016_33,91,2.275,0.1554
CMU_016_34,112,2.8,0.14919
CMU_016_35,50,1.25,0.13923
CMU_016_36,60,1.5,0.13377
CMU_016_37,57,1.425,0.13808
CMU_016_38,52,1.3,0.13059
CMU_016_39,45,1.125,0.13231
CMU_016_40,61,1.525,0.1332
CMU_016_41,50,1.25,0.11401
CMU_016_42,64,1.6,0.11616
CMU_016_43,67,1.675,0.12972
CMU_016_44,68,1.7,0.12816
CMU_016_45,42,1.05,0.1241
CMU_016_46,42,1.05,0.12291
CMU_016_47,135,3.375,0.15128
CMU_016_48,39,0.975,0.12719
CMU_016_49,39,0.975,0.12252
CMU_016_50,39,0.975,0.12472
CMU_016_51,56,1.4,0.12378
CMU_016_52,53,1.325,0.12207
CMU_016_53,44,1.1,0.11188
CMU_016_54,43,1.075,0.11264
CMU_016_55,57,1.425,0.10625
CMU_016_56,52,1.3,0.11377
CMU_016_57,86,2.15,0.15244
CMU_016_58,110,2.75,0.15571
CMU_017_01,2098,52.45,0.1231
CMU_017_02,2116,52.9,0.1294
CMU_017_03,2114,52.85,0.07816
CMU_017_04,2124,53.1,0.09063
CMU_017_05,2109,52.725,0.12798
CMU_017_06,2062,51.55,0.1126
CMU_017_07,2138,53.45,0.12061
CMU_017_08,2056,51.4,0.14508
CMU_017_09,2023,50.575,0.14695
CMU_017_10,923,23.075,0.08352
CMU_024_01,687,17.175,0.13199
CMU_025_01,536,13.4,0.16789
CMU_026_01,274,6.85,0.1493
CMU_026_02,2015,50.375,0.16921
CMU_026_03,745,18.625,0.17358
CMU_026_04,718,17.95,0.1696
CMU_026_05,1208,30.2,0.15288
CMU_026_06,1197,29.925,0.1701
CMU_026_07,2582,64.55,0.1448
CMU_026_08,2553,63.825,0.14837
CMU_027_01,340,8.5,0.07922
CMU_027_02,1185,29.625,0.17366
CMU_027_03,712,17.8,0.17469
CMU_027_04,1210,30.25,0.14365
CMU_027_05,2570,64.25,0.13913
CMU_027_06,952,23.8,0.17216
CMU_027_07,594,14.85,0.17372
CMU_027_08,1167,29.175,0.15623
CMU_027_09,1255,31.375,0.15093
CMU_029_01,435,10.875,0.16793
CMU_029_02,1036,25.9,0.16966
CMU_029_03,750,18.75,0.16673
CMU_029_04,1274,31.85,0.17101
CMU_029_05,1235,30.875,0.16999
